item_id,canonical_code,statement,section,data_type,unit_type,sign_convention,is_derived,definition,citation,alias_scheme,alias_code,coalesce_priority,valid_from,valid_to,vendor,vendor_field,sign_note
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,bloomberg,IS_TOTAL_REVENUE,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,bloomberg,SALES_REV_TURN,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,ciq,IQ_TOTAL_REV,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,ciq,dataItemId=100174,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,compustat,revt,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,compustat,revtq,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,factset,FF_SALES,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,sharadar,revenue,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,worldscope,01001,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,worldscope,WS.NetSales,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,10,1900-01-01,,,,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,us-gaap,Revenues,20,1900-01-01,,,,
1001,revenue,income,income_statement,duration,monetary,positive,false,Total Revenue,cross_vendor_field_map.md section 2.1 Income statement,us-gaap,SalesRevenueNet,30,1900-01-01,2018-01-01,,,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,bloomberg,IS_TOTAL_REVENUE,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,ciq,IQ_TOTAL_REV,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,compustat,sale,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,compustat,saleq,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,factset,FF_SALES,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,sharadar,revenue,
1002,sales_legacy,income,income_statement,duration,monetary,positive,false,Sales (legacy),cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,worldscope,01001,
1003,cost_of_revenue_cogs,income,income_statement,duration,monetary,positive_expense,false,Cost of Revenue / COGS,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,bloomberg,IS_COGS,
1003,cost_of_revenue_cogs,income,income_statement,duration,monetary,positive_expense,false,Cost of Revenue / COGS,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,bloomberg,IS_COG_AND_SERVICES_SOLD,
1003,cost_of_revenue_cogs,income,income_statement,duration,monetary,positive_expense,false,Cost of Revenue / COGS,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,ciq,IQ_COGS,
1003,cost_of_revenue_cogs,income,income_statement,duration,monetary,positive_expense,false,Cost of Revenue / COGS,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,compustat,cogs,
1003,cost_of_revenue_cogs,income,income_statement,duration,monetary,positive_expense,false,Cost of Revenue / COGS,cross_vendor_field_map.md section 2.1 Income statement,,,,1900-01-01,,compustat,cogsq,
