effective_date	symbol	raw_weight	source	as_of
2026-01-02	SPY	100.000000000000	INDEX_ETF_SPDR_SPY	2025-12-31
2026-01-02	NVDA	7.754618397194	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	AAPL	6.873651465298	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	MSFT	6.150453900958	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	AMZN	3.842171727492	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	GOOGL	3.116228390867	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	AVGO	2.796643279414	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	GOOG	2.496797705389	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	META	2.459884507779	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	TSLA	2.162289586434	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	BRK.B	1.577174710223	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	JPM	1.500920040319	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	LLY	1.460283533505	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	V	1.012747939170	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	XOM	0.868372299171	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	JNJ	0.852884940300	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	WMT	0.835940385709	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	MA	0.800951154762	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	PLTR	0.694775010068	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	ABBV	0.690682339693	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	NFLX	0.679805859131	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	COST	0.653955283591	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	BAC	0.632261229085	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	AMD	0.596598963189	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	HD	0.585788063489	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	PG	0.573007072315	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	ORCL	0.560951398560	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	GE	0.555954813056	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	MU	0.548177957391	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	CSCO	0.519411392686	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	UNH	0.511529643897	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	WFC	0.500602249698	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	CVX	0.493596646503	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	IBM	0.473761093996	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	KO	0.463112311024	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	CAT	0.458730329435	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	GS	0.451109925520	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	MRK	0.447039341441	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	CRM	0.431524376469	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	PM	0.427235872023	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	RTX	0.420405480335	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	ABT	0.372783126530	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	TMO	0.372507299438	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	MCD	0.372422262938	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	LRCX	0.367902627401	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	MS	0.366922487870	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	C	0.357267397404	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	AMAT	0.350315960635	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	DIS	0.347541736706	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	ISRG	0.343549360541	SEC_NPORT_0001410368-26-020131	2025-12-31
2026-01-02	LIN	0.340673119205	SEC_NPORT_0001410368-26-020131	2025-12-31
